"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"ENSG00000009790",0.424761421660574,5.53377699415057,1.49084691971176,0.138933097023867,0.334014799265152,-5.23691213493476,"TRAF3IP3"
"ENSG00000009830",0.0235981302847709,2.8256080768204,0.0604499475952045,0.951909629324422,0.975312141461599,-6.06314365773607,"POMT2"
"ENSG00000009844",-0.793138850927834,3.28132064107258,-2.5420827531272,0.0124458698225861,0.0821659049954755,-3.08339711207501,"VTA1"
"ENSG00000009954",-0.483547127779388,2.55910320384163,-2.02213168531367,0.0456486969445056,0.174406758326908,-4.13752932945096,"BAZ1B"
"ENSG00000010017",-0.314599331461002,4.14836205316626,-1.11234474484498,0.268473741406059,0.481403310199444,-5.57461310401948,"RANBP9"
"ENSG00000010030",1.54208126813504,1.76711967377612,4.08891492686032,8.39350152391259e-05,0.00334672185444555,1.33368332448992,"ETV7"
"ENSG00000010072",-0.354298166909889,1.95470320151342,-1.25175116405968,0.213380096643836,0.424048800010191,-5.30279625310092,"SPRTN"
"ENSG00000010165",-0.558658488321889,2.04144464902859,-1.92307513422402,0.0571188662806666,0.199763386542688,-4.31075425365899,"EEF1AKNMT"
"ENSG00000010219",-0.403855358268593,2.66896933646563,-1.0787580641923,0.283112547171797,0.496084612495244,-5.51007161097752,"DYRK4"
"ENSG00000010244",-0.0255488564184351,6.38052059908517,-0.12116164396534,0.90378941141511,0.948458349643368,-6.36883434862989,"ZNF207"
"ENSG00000010256",-0.975527394994844,5.49462147728347,-4.21177840242587,5.28675561691182e-05,0.00245098995612451,1.69211739614282,"UQCRC1"
"ENSG00000010270",-0.481449944934086,4.58126362196351,-2.47304752411803,0.0149643847836092,0.0916887156898265,-3.33210096745433,"STARD3NL"
"ENSG00000010278",-1.36055800478389,6.4762328245628,-4.60218179730517,1.15117362293528e-05,0.000883212445428053,3.08026269747808,"CD9"
"ENSG00000010292",0.221628667149792,3.0723593238604,0.785935796464297,0.433635759914117,0.634401303132687,-5.78247568323466,"NCAPD2"
"ENSG00000010295",0.156659671134756,2.15986316992086,0.648657220197832,0.517944609410098,0.701243479303286,-5.84235948266422,"IFFO1"
"ENSG00000010310",0.216822864753454,2.34552979595792,0.638054310911136,0.524796520676696,0.706673668385651,-5.86516466464585,"GIPR"
"ENSG00000010318",0.392361096437322,2.03449566246479,1.11037530085501,0.26931730345658,0.482143510243872,-5.46245605138686,"PHF7"
"ENSG00000010322",0.212602813363602,3.80728619880154,0.908039183455032,0.365890658848393,0.573350662415432,-5.74895694187012,"NISCH"
"ENSG00000010327",-0.144323457574309,4.18397415623826,-0.535881879838774,0.593148331066781,0.756768795620946,-6.03747321112427,"STAB1"
"ENSG00000010361",-0.696633866487163,3.23564120650444,-2.12567867088363,0.0358221577010321,0.150532490718982,-3.96509236444568,"FUZ"
"ENSG00000010404",-0.330833517862534,6.39279161846115,-2.14356350479269,0.0343246434509799,0.146490414447892,-4.16979506284243,"IDS"
